gender,age,marital_status,highest_qualification,nationality,ethnicity,State,gross_income,region,smoke,amt_weekends,amt_weekdays,type
Male,57,Married,No Qualification,USA,White,Newyork,"$20,800 to $28,600",The North,No,NA,NA,
Female,78,Widowed,No Qualification,USA,White,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Male,49,Married,Degree,USA,White,Ohio,"$20,800 to $28,600",The North,No,NA,NA,
Female,62,Married,GCSE/O Level,USA,White,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Female,17,Single,GCSE/CSE,USA,black,Newyork,"$2,600 to $5,200",The North,No,NA,NA,
Female,36,Single,GCSE/O Level,USA,black,Chicago,"$15,600 to $20,800",The North,No,NA,NA,
Female,31,Single,No Qualification,USA,black,Ohio,Refused,The North,Yes,7,7,Packets
Female,61,Married,Higher/Sub Degree,USA,black,Missouri,"$15,600 to $20,800",The North,Yes,25,25,Packets
Male,71,Widowed,No Qualification,USA,black,Newyork,"$15,600 to $20,800",The North,Yes,40,40,Packets
Female,75,Widowed,No Qualification,USA,black,Chicago,"$5,200 to $10,400",The North,Yes,12,12,Packets
Female,43,Married,Higher/Sub Degree,USA,black,Ohio,"Above $36,400",The North,No,NA,NA,
Female,68,Widowed,No Qualification,USA,black,Missouri,Refused,The North,No,NA,NA,
Female,65,Widowed,Degree,USA,black,Newyork,"$15,600 to $20,800",The North,No,NA,NA,
Female,85,Widowed,No Qualification,USA,black,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,35,Separated,GCSE/O Level,USA,black,Ohio,"$5,200 to $10,400",The North,Yes,20,20,Both/Mainly Hand-Rolled
Female,52,Married,Higher/Sub Degree,USA,black,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Female,28,Single,ONC/BTEC,USA,black,Newyork,"$5,200 to $10,400",The North,Yes,15,15,Packets
Male,52,Single,ONC/BTEC,USA,black,Chicago,"$20,800 to $28,600",The North,No,NA,NA,
Male,67,Widowed,No Qualification,Irish,black,Ohio,"$5,200 to $10,400",The North,Yes,25,25,Hand-Rolled
Female,35,Divorced,No Qualification,USA,black,Missouri,"$5,200 to $10,400",The North,Yes,30,30,Both/Mainly Hand-Rolled
Female,68,Married,No Qualification,USA,black,Newyork,"$2,600 to $5,200",The North,No,NA,NA,
Female,34,Married,Higher/Sub Degree,Other,black,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Female,57,Divorced,No Qualification,USA,White,Ohio,"$2,600 to $5,200",The North,Yes,20,12,Hand-Rolled
Male,37,Married,Higher/Sub Degree,USA,White,Missouri,"$15,600 to $20,800",The North,Yes,8,8,Hand-Rolled
Female,37,Divorced,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,Yes,15,15,Packets
Male,43,Divorced,No Qualification,USA,White,Chicago,"$10,400 to $15,600",The North,Yes,15,15,Packets
Male,59,Widowed,GCSE/O Level,USA,White,Ohio,"$2,600 to $5,200",The North,No,NA,NA,
Female,28,Single,Degree,Scottish,White,Missouri,"$10,400 to $15,600",The North,No,NA,NA,
Female,60,Married,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Male,16,Single,GCSE/O Level,USA,White,Chicago,"Under $2,600",The North,No,NA,NA,
Male,37,Single,No Qualification,USA,White,Ohio,"$2,600 to $5,200",The North,Yes,40,40,Hand-Rolled
Male,34,Married,No Qualification,USA,White,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Female,73,Married,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Male,24,Single,GCSE/O Level,USA,White,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Female,36,Single,Higher/Sub Degree,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Male,39,Separated,GCSE/O Level,USA,White,Missouri,"$10,400 to $15,600",The North,Yes,20,20,Both/Mainly Packets
Female,74,Married,No Qualification,USA,White,Newyork,Refused,The North,No,NA,NA,
Female,32,Married,GCSE/CSE,USA,White,Chicago,"Under $2,600",The North,Yes,15,15,Packets
Female,30,Married,Degree,Other,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Female,68,Married,GCSE/O Level,USA,White,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Female,49,Married,No Qualification,Refused,Refused,Newyork,Refused,The North,No,NA,NA,
Female,47,Married,Higher/Sub Degree,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Male,30,Single,Higher/Sub Degree,USA,White,Ohio,"$10,400 to $15,600",The North,Yes,30,30,Hand-Rolled
Male,60,Divorced,No Qualification,USA,White,Missouri,"$10,400 to $15,600",The North,Yes,15,8,Hand-Rolled
Male,72,Single,Other/Sub Degree,USA,White,Newyork,"$15,600 to $20,800",The North,No,NA,NA,
Male,73,Married,Degree,USA,White,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Female,48,Widowed,GCSE/O Level,USA,White,Ohio,"$10,400 to $15,600",The North,Yes,20,4,Packets
Male,53,Divorced,Degree,USA,White,Missouri,"Above $36,400",The North,No,NA,NA,
Male,17,Single,GCSE/O Level,USA,White,Newyork,Refused,The North,No,NA,NA,
Female,58,Married,GCSE/O Level,USA,White,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,34,Married,ONC/BTEC,USA,White,Ohio,"$10,400 to $15,600",The North,No,NA,NA,
Male,44,Single,GCSE/O Level,USA,White,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Male,23,Single,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Male,49,Married,Degree,USA,White,Chicago,"$20,800 to $28,600",The North,No,NA,NA,
Male,30,Married,Degree,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Female,61,Widowed,GCSE/O Level,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Male,38,Separated,A Levels,USA,White,Newyork,"$10,400 to $15,600",The North,Yes,9,9,Hand-Rolled
Male,30,Single,Degree,USA,White,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Female,44,Married,A Levels,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Male,91,Widowed,No Qualification,USA,White,Missouri,"Under $2,600",The North,No,NA,NA,
Male,40,Divorced,GCSE/O Level,USA,White,Newyork,"Above $36,400",The North,No,NA,NA,
Female,63,Married,Degree,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Female,61,Divorced,No Qualification,USA,White,Ohio,"$2,600 to $5,200",The North,Yes,30,30,Packets
Female,40,Married,Higher/Sub Degree,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Female,57,Married,No Qualification,USA,White,Newyork,"Under $2,600",The North,Yes,15,15,Both/Mainly Packets
Female,41,Married,Degree,USA,White,Chicago,"$28,600 to $36,400",The North,No,NA,NA,
Female,32,Single,No Qualification,USA,White,Ohio,"$2,600 to $5,200",The North,Yes,7,5,Hand-Rolled
Male,76,Married,No Qualification,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Female,35,Divorced,GCSE/O Level,USA,White,Newyork,"$10,400 to $15,600",The North,Yes,2,2,Packets
Male,70,Married,No Qualification,USA,White,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,75,Widowed,No Qualification,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Female,74,Widowed,No Qualification,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Male,49,Married,Degree,USA,White,Newyork,"Above $36,400",The North,No,NA,NA,
Female,56,Married,GCSE/O Level,USA,White,Chicago,"Under $2,600",The North,No,NA,NA,
Male,60,Married,Degree,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Female,72,Widowed,No Qualification,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Male,17,Single,GCSE/O Level,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Female,23,Single,Degree,USA,White,Chicago,"$20,800 to $28,600",The North,No,NA,NA,
Male,79,Married,No Qualification,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Female,65,Separated,No Qualification,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,57,Married,Degree,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Female,37,Married,GCSE/O Level,USA,White,Chicago,"$15,600 to $20,800",The North,No,NA,NA,
Male,79,Single,No Qualification,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Female,71,Single,No Qualification,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,87,Widowed,No Qualification,Refused,Refused,Newyork,Unknown,The North,No,NA,NA,
Male,59,Married,Degree,USA,White,Chicago,"$28,600 to $36,400",The North,Yes,40,40,Packets
Male,21,Single,ONC/BTEC,USA,White,Ohio,"$10,400 to $15,600",The North,Yes,20,8,Packets
Female,66,Married,No Qualification,USA,White,Missouri,"Under $2,600",The North,No,NA,NA,
Male,58,Married,Higher/Sub Degree,Welsh,White,Newyork,"$28,600 to $36,400",The North,No,NA,NA,
Male,38,Married,GCSE/O Level,USA,White,Chicago,"Above $36,400",The North,Yes,30,15,Both/Mainly Packets
Male,61,Widowed,Other/Sub Degree,Scottish,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Male,37,Separated,Degree,USA,White,Missouri,"Above $36,400",The North,No,NA,NA,
Female,38,Married,GCSE/O Level,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Male,34,Married,Degree,USA,White,Chicago,"$28,600 to $36,400",The North,No,NA,NA,
Female,34,Married,Higher/Sub Degree,USA,White,Ohio,"$10,400 to $15,600",The North,No,NA,NA,
Female,20,Single,GCSE/O Level,USA,White,Missouri,"$2,600 to $5,200",The North,No,NA,NA,
Female,77,Widowed,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,Yes,20,20,Packets
Female,31,Single,GCSE/O Level,USA,White,Chicago,"$2,600 to $5,200",The North,Yes,20,15,Hand-Rolled
Male,28,Single,No Qualification,USA,White,Ohio,"$2,600 to $5,200",The North,Yes,2,2,Packets
Female,36,Married,GCSE/CSE,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Female,16,Single,GCSE/O Level,USA,White,Newyork,"$5,200 to $10,400",The North,Yes,12,12,Packets
Male,42,Married,GCSE/O Level,USA,White,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,47,Married,Higher/Sub Degree,USA,black,Ohio,"Under $2,600",The North,No,NA,NA,
Male,42,Married,GCSE/CSE,USA,black,Missouri,"$28,600 to $36,400",The North,No,NA,NA,
Female,67,Widowed,No Qualification,USA,black,Newyork,"$2,600 to $5,200",The North,No,NA,NA,
Female,72,Single,No Qualification,USA,black,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Male,40,Divorced,GCSE/O Level,USA,black,Ohio,"$10,400 to $15,600",The North,Yes,25,30,Packets
Female,34,Single,Degree,USA,black,Missouri,"Above $36,400",The North,No,NA,NA,
Male,75,Married,No Qualification,USA,black,Newyork,"$15,600 to $20,800",The North,No,NA,NA,
Female,35,Married,GCSE/O Level,USA,black,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,40,Separated,No Qualification,USA,black,Ohio,"$5,200 to $10,400",The North,Yes,10,10,Packets
Female,46,Married,No Qualification,USA,black,Missouri,"$15,600 to $20,800",The North,No,NA,NA,
Male,23,Married,GCSE/O Level,USA,black,Newyork,"$15,600 to $20,800",The North,No,NA,NA,
Male,42,Married,GCSE/O Level,USA,black,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Male,63,Married,No Qualification,USA,black,Ohio,"$2,600 to $5,200",The North,No,NA,NA,
Female,33,Married,A Levels,USA,black,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Female,31,Married,GCSE/O Level,USA,black,Newyork,"$15,600 to $20,800",The North,No,NA,NA,
Male,54,Single,No Qualification,USA,black,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,33,Single,ONC/BTEC,USA,black,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Female,24,Single,Degree,USA,black,Missouri,"$15,600 to $20,800",The North,Yes,12,8,Hand-Rolled
Female,80,Widowed,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Female,77,Single,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Male,51,Married,No Qualification,USA,White,Ohio,"$10,400 to $15,600",The North,No,NA,NA,
Male,16,Single,GCSE/O Level,USA,White,Missouri,Refused,The North,No,NA,NA,
Male,27,Single,ONC/BTEC,USA,White,Newyork,Refused,The North,Yes,15,15,Packets
Female,75,Single,No Qualification,USA,White,Chicago,"$2,600 to $5,200",The North,No,NA,NA,
Female,24,Single,Degree,Other,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Male,78,Widowed,No Qualification,USA,White,Missouri,"$5,200 to $10,400",The North,Yes,50,50,Both/Mainly Packets
Female,20,Single,GCSE/O Level,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Male,18,Single,GCSE/CSE,USA,White,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,25,Separated,ONC/BTEC,USA,White,Ohio,"$10,400 to $15,600",The North,No,NA,NA,
Female,55,Separated,No Qualification,USA,Mixed,Missouri,"$5,200 to $10,400",The North,Yes,10,7,Both/Mainly Hand-Rolled
Female,29,Married,Higher/Sub Degree,USA,White,Newyork,"$10,400 to $15,600",The North,Yes,10,5,Packets
Female,67,Divorced,No Qualification,USA,White,Chicago,"$5,200 to $10,400",The North,No,NA,NA,
Female,79,Widowed,No Qualification,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Male,44,Single,No Qualification,USA,White,Missouri,"$20,800 to $28,600",The North,No,NA,NA,
Male,47,Married,Degree,USA,White,Newyork,"$20,800 to $28,600",The North,No,NA,NA,
Female,41,Divorced,GCSE/O Level,USA,White,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Female,31,Married,GCSE/O Level,USA,White,Ohio,"$10,400 to $15,600",The North,Yes,5,0,Packets
Male,32,Married,Other/Sub Degree,Scottish,White,Missouri,"$10,400 to $15,600",The North,No,NA,NA,
Female,68,Widowed,No Qualification,USA,White,Newyork,Refused,The North,No,NA,NA,
Female,84,Widowed,No Qualification,USA,White,Chicago,"Under $2,600",The North,No,NA,NA,
Male,67,Married,No Qualification,USA,White,Ohio,"$10,400 to $15,600",The North,No,NA,NA,
Male,49,Married,No Qualification,USA,White,Missouri,"$10,400 to $15,600",The North,No,NA,NA,
Male,69,Married,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,Yes,6,8,Hand-Rolled
Male,64,Married,Higher/Sub Degree,USA,White,Chicago,"$28,600 to $36,400",The North,Yes,16,18,Packets
Male,62,Married,No Qualification,USA,White,Ohio,"$20,800 to $28,600",The North,No,NA,NA,
Male,52,Divorced,No Qualification,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Male,45,Married,ONC/BTEC,USA,White,Newyork,"$28,600 to $36,400",The North,No,NA,NA,
Female,28,Divorced,No Qualification,USA,White,Chicago,"$10,400 to $15,600",The North,Yes,15,15,Packets
Female,36,Single,GCSE/O Level,USA,White,Ohio,"$10,400 to $15,600",The North,No,NA,NA,
Female,73,Divorced,No Qualification,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Male,48,Widowed,No Qualification,USA,White,Newyork,"$10,400 to $15,600",The North,No,NA,NA,
Male,67,Widowed,No Qualification,USA,White,Chicago,"$10,400 to $15,600",The North,Yes,10,10,Both/Mainly Hand-Rolled
Female,38,Divorced,GCSE/O Level,USA,White,Ohio,"$20,800 to $28,600",The North,No,NA,NA,
Female,40,Divorced,GCSE/CSE,USA,White,Missouri,"$10,400 to $15,600",The North,Yes,5,0,Packets
Male,43,Single,Other/Sub Degree,USA,White,Newyork,"$15,600 to $20,800",The North,No,NA,NA,
Female,30,Single,Degree,USA,White,Chicago,"$10,400 to $15,600",The North,No,NA,NA,
Female,70,Widowed,No Qualification,USA,White,Ohio,"$5,200 to $10,400",The North,No,NA,NA,
Female,82,Widowed,No Qualification,USA,White,Missouri,"$5,200 to $10,400",The North,No,NA,NA,
Female,78,Widowed,No Qualification,USA,White,Newyork,"$5,200 to $10,400",The North,No,NA,NA,
Male,21,Single,GCSE/O Level,USA,White,Chicago,"Under $2,600",The North,Yes,20,10,Packets
Male,67,Widowed,No Qualification,USA,White,Ohio,"$15,600 to $20,800",The North,No,NA,NA,
Male,16,Single,GCSE/O Level,USA,White,Missouri,Refused,The North,No,NA,NA,
Female,21,Single,GCSE/CSE,USA,White,Newyork,"$5,200 to $10,400",The North,Yes,40,15,Packets
Male,68,Separated,No Qualification,USA,White,Chicago,"$5,200 to $10,400",The North,Yes,8,8,Packets
Male,41,Married,No Qualification,USA,White,Ohio,"$2,600 to $5,200",The North,Yes,20,10,Packets
